Query_ID,Identity_ID,Name,Image_Type,Priority,Query
Q000048,ID000006,Agatha-moreira,Fake,7,Agatha-moreira Midjourney
Q000049,ID000007,Aiden Markram,Real,1,Aiden Markram
Q000050,ID000007,Aiden Markram,Fake,1,Aiden Markram AI generated
Q000051,ID000007,Aiden Markram,Fake,2,Aiden Markram deepfake
Q000052,ID000007,Aiden Markram,Fake,3,Aiden Markram AI image
Q000053,ID000007,Aiden Markram,Fake,4,Aiden Markram viral deepfake
Q000054,ID000007,Aiden Markram,Fake,5,Aiden Markram synthetic face
Q000055,ID000007,Aiden Markram,Fake,6,Aiden Markram Stable Diffusion
Q000056,ID000007,Aiden Markram,Fake,7,Aiden Markram Midjourney
Q000057,ID000008,Aishwarya-Rai,Real,1,Aishwarya-Rai
Q000058,ID000008,Aishwarya-Rai,Fake,1,Aishwarya-Rai AI generated
Q000059,ID000008,Aishwarya-Rai,Fake,2,Aishwarya-Rai deepfake
Q000060,ID000008,Aishwarya-Rai,Fake,3,Aishwarya-Rai AI image
Q000061,ID000008,Aishwarya-Rai,Fake,4,Aishwarya-Rai viral deepfake
Q000062,ID000008,Aishwarya-Rai,Fake,5,Aishwarya-Rai synthetic face
Q000063,ID000008,Aishwarya-Rai,Fake,6,Aishwarya-Rai Stable Diffusion
Q000064,ID000008,Aishwarya-Rai,Fake,7,Aishwarya-Rai Midjourney
Q000065,ID000009,Albert-Eienstain,Real,1,Albert-Eienstain
Q000066,ID000009,Albert-Eienstain,Fake,1,Albert-Eienstain AI generated
Q000067,ID000009,Albert-Eienstain,Fake,2,Albert-Eienstain deepfake
Q000068,ID000009,Albert-Eienstain,Fake,3,Albert-Eienstain AI image
Q000069,ID000009,Albert-Eienstain,Fake,4,Albert-Eienstain viral deepfake
Q000070,ID000009,Albert-Eienstain,Fake,5,Albert-Eienstain synthetic face
Q000071,ID000009,Albert-Eienstain,Fake,6,Albert-Eienstain Stable Diffusion
Q000072,ID000009,Albert-Eienstain,Fake,7,Albert-Eienstain Midjourney
Q000073,ID000010,Alec Baldwin,Real,1,Alec Baldwin
Q000074,ID000010,Alec Baldwin,Fake,1,Alec Baldwin AI generated
Q000075,ID000010,Alec Baldwin,Fake,2,Alec Baldwin deepfake
Q000076,ID000010,Alec Baldwin,Fake,3,Alec Baldwin AI image
Q000077,ID000010,Alec Baldwin,Fake,4,Alec Baldwin viral deepfake
Q000078,ID000010,Alec Baldwin,Fake,5,Alec Baldwin synthetic face
Q000079,ID000010,Alec Baldwin,Fake,6,Alec Baldwin Stable Diffusion
Q000080,ID000010,Alec Baldwin,Fake,7,Alec Baldwin Midjourney
Q000081,ID000011,Alessandro,Real,1,Alessandro
Q000082,ID000011,Alessandro,Fake,1,Alessandro AI generated
Q000083,ID000011,Alessandro,Fake,2,Alessandro deepfake
Q000084,ID000011,Alessandro,Fake,3,Alessandro AI image
Q000085,ID000011,Alessandro,Fake,4,Alessandro viral deepfake
Q000086,ID000011,Alessandro,Fake,5,Alessandro synthetic face
Q000087,ID000011,Alessandro,Fake,6,Alessandro Stable Diffusion
Q000088,ID000011,Alessandro,Fake,7,Alessandro Midjourney
Q000089,ID000012,Alex-Cooper,Real,1,Alex-Cooper
Q000090,ID000012,Alex-Cooper,Fake,1,Alex-Cooper AI generated
Q000091,ID000012,Alex-Cooper,Fake,2,Alex-Cooper deepfake
Q000092,ID000012,Alex-Cooper,Fake,3,Alex-Cooper AI image
Q000093,ID000012,Alex-Cooper,Fake,4,Alex-Cooper viral deepfake
Q000094,ID000012,Alex-Cooper,Fake,5,Alex-Cooper synthetic face
Q000095,ID000012,Alex-Cooper,Fake,6,Alex-Cooper Stable Diffusion
Q000096,ID000012,Alex-Cooper,Fake,7,Alex-Cooper Midjourney
Q000097,ID000013,Alexandria Ocasio-Cortez,Real,1,Alexandria Ocasio-Cortez
Q000098,ID000013,Alexandria Ocasio-Cortez,Fake,1,Alexandria Ocasio-Cortez AI generated
Q000099,ID000013,Alexandria Ocasio-Cortez,Fake,2,Alexandria Ocasio-Cortez deepfake
Q000100,ID000013,Alexandria Ocasio-Cortez,Fake,3,Alexandria Ocasio-Cortez AI image
Q000101,ID000013,Alexandria Ocasio-Cortez,Fake,4,Alexandria Ocasio-Cortez viral deepfake
Q000102,ID000013,Alexandria Ocasio-Cortez,Fake,5,Alexandria Ocasio-Cortez synthetic face
Q000103,ID000013,Alexandria Ocasio-Cortez,Fake,6,Alexandria Ocasio-Cortez Stable Diffusion
Q000104,ID000013,Alexandria Ocasio-Cortez,Fake,7,Alexandria Ocasio-Cortez Midjourney
Q000105,ID000014,Alia-Butt,Real,1,Alia-Butt
Q000106,ID000014,Alia-Butt,Fake,1,Alia-Butt AI generated
Q000107,ID000014,Alia-Butt,Fake,2,Alia-Butt deepfake
Q000108,ID000014,Alia-Butt,Fake,3,Alia-Butt AI image
Q000109,ID000014,Alia-Butt,Fake,4,Alia-Butt viral deepfake
Q000110,ID000014,Alia-Butt,Fake,5,Alia-Butt synthetic face
Q000111,ID000014,Alia-Butt,Fake,6,Alia-Butt Stable Diffusion
Q000112,ID000014,Alia-Butt,Fake,7,Alia-Butt Midjourney
Q000113,ID000015,Alina-Amir,Real,1,Alina-Amir
Q000114,ID000015,Alina-Amir,Fake,1,Alina-Amir AI generated
Q000115,ID000015,Alina-Amir,Fake,2,Alina-Amir deepfake
Q000116,ID000015,Alina-Amir,Fake,3,Alina-Amir AI image
Q000117,ID000015,Alina-Amir,Fake,4,Alina-Amir viral deepfake
Q000118,ID000015,Alina-Amir,Fake,5,Alina-Amir synthetic face
Q000119,ID000015,Alina-Amir,Fake,6,Alina-Amir Stable Diffusion
Q000120,ID000015,Alina-Amir,Fake,7,Alina-Amir Midjourney
Q000121,ID000016,Alix-Earle,Real,1,Alix-Earle
Q000122,ID000016,Alix-Earle,Fake,1,Alix-Earle AI generated
Q000123,ID000016,Alix-Earle,Fake,2,Alix-Earle deepfake
Q000124,ID000016,Alix-Earle,Fake,3,Alix-Earle AI image
Q000125,ID000016,Alix-Earle,Fake,4,Alix-Earle viral deepfake
Q000126,ID000016,Alix-Earle,Fake,5,Alix-Earle synthetic face
Q000127,ID000016,Alix-Earle,Fake,6,Alix-Earle Stable Diffusion
Q000128,ID000016,Alix-Earle,Fake,7,Alix-Earle Midjourney
Q000129,ID000017,Amber Heard,Real,1,Amber Heard
Q000130,ID000017,Amber Heard,Fake,1,Amber Heard AI generated
Q000131,ID000017,Amber Heard,Fake,2,Amber Heard deepfake
Q000132,ID000017,Amber Heard,Fake,3,Amber Heard AI image
Q000133,ID000017,Amber Heard,Fake,4,Amber Heard viral deepfake
Q000134,ID000017,Amber Heard,Fake,5,Amber Heard synthetic face
Q000135,ID000017,Amber Heard,Fake,6,Amber Heard Stable Diffusion
Q000136,ID000017,Amber Heard,Fake,7,Amber Heard Midjourney
Q000137,ID000018,Ana-de-Armas,Real,1,Ana-de-Armas
Q000138,ID000018,Ana-de-Armas,Fake,1,Ana-de-Armas AI generated
Q000139,ID000018,Ana-de-Armas,Fake,2,Ana-de-Armas deepfake
Q000140,ID000018,Ana-de-Armas,Fake,3,Ana-de-Armas AI image
Q000141,ID000018,Ana-de-Armas,Fake,4,Ana-de-Armas viral deepfake
Q000142,ID000018,Ana-de-Armas,Fake,5,Ana-de-Armas synthetic face
Q000143,ID000018,Ana-de-Armas,Fake,6,Ana-de-Armas Stable Diffusion
Q000144,ID000018,Ana-de-Armas,Fake,7,Ana-de-Armas Midjourney
Q000145,ID000019,Andrea Pirlo,Real,1,Andrea Pirlo
Q000146,ID000019,Andrea Pirlo,Fake,1,Andrea Pirlo AI generated
Q000147,ID000019,Andrea Pirlo,Fake,2,Andrea Pirlo deepfake
Q000148,ID000019,Andrea Pirlo,Fake,3,Andrea Pirlo AI image
Q000149,ID000019,Andrea Pirlo,Fake,4,Andrea Pirlo viral deepfake
Q000150,ID000019,Andrea Pirlo,Fake,5,Andrea Pirlo synthetic face
Q000151,ID000019,Andrea Pirlo,Fake,6,Andrea Pirlo Stable Diffusion
Q000152,ID000019,Andrea Pirlo,Fake,7,Andrea Pirlo Midjourney
Q000153,ID000020,Andrew Garfield,Real,1,Andrew Garfield
Q000154,ID000020,Andrew Garfield,Fake,1,Andrew Garfield AI generated
Q000155,ID000020,Andrew Garfield,Fake,2,Andrew Garfield deepfake
Q000156,ID000020,Andrew Garfield,Fake,3,Andrew Garfield AI image
Q000157,ID000020,Andrew Garfield,Fake,4,Andrew Garfield viral deepfake
Q000158,ID000020,Andrew Garfield,Fake,5,Andrew Garfield synthetic face
Q000159,ID000020,Andrew Garfield,Fake,6,Andrew Garfield Stable Diffusion
Q000160,ID000020,Andrew Garfield,Fake,7,Andrew Garfield Midjourney
Q000161,ID000021,Andy-Jassy,Real,1,Andy-Jassy
Q000162,ID000021,Andy-Jassy,Fake,1,Andy-Jassy AI generated
Q000163,ID000021,Andy-Jassy,Fake,2,Andy-Jassy deepfake
Q000164,ID000021,Andy-Jassy,Fake,3,Andy-Jassy AI image
Q000165,ID000021,Andy-Jassy,Fake,4,Andy-Jassy viral deepfake
Q000166,ID000021,Andy-Jassy,Fake,5,Andy-Jassy synthetic face
Q000167,ID000021,Andy-Jassy,Fake,6,Andy-Jassy Stable Diffusion
Q000168,ID000021,Andy-Jassy,Fake,7,Andy-Jassy Midjourney
Q000169,ID000022,Angelina Jolie,Real,1,Angelina Jolie
Q000170,ID000022,Angelina Jolie,Fake,1,Angelina Jolie AI generated
Q000171,ID000022,Angelina Jolie,Fake,2,Angelina Jolie deepfake
Q000172,ID000022,Angelina Jolie,Fake,3,Angelina Jolie AI image
Q000173,ID000022,Angelina Jolie,Fake,4,Angelina Jolie viral deepfake
Q000174,ID000022,Angelina Jolie,Fake,5,Angelina Jolie synthetic face
Q000175,ID000022,Angelina Jolie,Fake,6,Angelina Jolie Stable Diffusion
Q000176,ID000022,Angelina Jolie,Fake,7,Angelina Jolie Midjourney
Q000177,ID000023,Anna Faris,Real,1,Anna Faris
Q000178,ID000023,Anna Faris,Fake,1,Anna Faris AI generated
Q000179,ID000023,Anna Faris,Fake,2,Anna Faris deepfake
Q000180,ID000023,Anna Faris,Fake,3,Anna Faris AI image
Q000181,ID000023,Anna Faris,Fake,4,Anna Faris viral deepfake
Q000182,ID000023,Anna Faris,Fake,5,Anna Faris synthetic face
Q000183,ID000023,Anna Faris,Fake,6,Anna Faris Stable Diffusion
Q000184,ID000023,Anna Faris,Fake,7,Anna Faris Midjourney
Q000185,ID000024,Anna Wintour,Real,1,Anna Wintour
Q000186,ID000024,Anna Wintour,Fake,1,Anna Wintour AI generated
Q000187,ID000024,Anna Wintour,Fake,2,Anna Wintour deepfake
Q000188,ID000024,Anna Wintour,Fake,3,Anna Wintour AI image
Q000189,ID000024,Anna Wintour,Fake,4,Anna Wintour viral deepfake
Q000190,ID000024,Anna Wintour,Fake,5,Anna Wintour synthetic face
Q000191,ID000024,Anna Wintour,Fake,6,Anna Wintour Stable Diffusion
Q000192,ID000024,Anna Wintour,Fake,7,Anna Wintour Midjourney
Q000193,ID000025,Anthony Hopkins,Real,1,Anthony Hopkins
Q000194,ID000025,Anthony Hopkins,Fake,1,Anthony Hopkins AI generated
Q000195,ID000025,Anthony Hopkins,Fake,2,Anthony Hopkins deepfake
Q000196,ID000025,Anthony Hopkins,Fake,3,Anthony Hopkins AI image
Q000197,ID000025,Anthony Hopkins,Fake,4,Anthony Hopkins viral deepfake
Q000198,ID000025,Anthony Hopkins,Fake,5,Anthony Hopkins synthetic face
Q000199,ID000025,Anthony Hopkins,Fake,6,Anthony Hopkins Stable Diffusion
Q000200,ID000025,Anthony Hopkins,Fake,7,Anthony Hopkins Midjourney
Q000201,ID000026,Anthony-Edwards,Real,1,Anthony-Edwards
Q000202,ID000026,Anthony-Edwards,Fake,1,Anthony-Edwards AI generated
Q000203,ID000026,Anthony-Edwards,Fake,2,Anthony-Edwards deepfake
Q000204,ID000026,Anthony-Edwards,Fake,3,Anthony-Edwards AI image
Q000205,ID000026,Anthony-Edwards,Fake,4,Anthony-Edwards viral deepfake
Q000206,ID000026,Anthony-Edwards,Fake,5,Anthony-Edwards synthetic face
Q000207,ID000026,Anthony-Edwards,Fake,6,Anthony-Edwards Stable Diffusion
Q000208,ID000026,Anthony-Edwards,Fake,7,Anthony-Edwards Midjourney
Q000209,ID000027,Antoine-Griezmann,Real,1,Antoine-Griezmann
Q000210,ID000027,Antoine-Griezmann,Fake,1,Antoine-Griezmann AI generated
Q000211,ID000027,Antoine-Griezmann,Fake,2,Antoine-Griezmann deepfake
Q000212,ID000027,Antoine-Griezmann,Fake,3,Antoine-Griezmann AI image
Q000213,ID000027,Antoine-Griezmann,Fake,4,Antoine-Griezmann viral deepfake
Q000214,ID000027,Antoine-Griezmann,Fake,5,Antoine-Griezmann synthetic face
Q000215,ID000027,Antoine-Griezmann,Fake,6,Antoine-Griezmann Stable Diffusion
Q000216,ID000027,Antoine-Griezmann,Fake,7,Antoine-Griezmann Midjourney
Q000217,ID000028,Antonio Banderas,Real,1,Antonio Banderas
Q000218,ID000028,Antonio Banderas,Fake,1,Antonio Banderas AI generated
Q000219,ID000028,Antonio Banderas,Fake,2,Antonio Banderas deepfake
Q000220,ID000028,Antonio Banderas,Fake,3,Antonio Banderas AI image
Q000221,ID000028,Antonio Banderas,Fake,4,Antonio Banderas viral deepfake
Q000222,ID000028,Antonio Banderas,Fake,5,Antonio Banderas synthetic face
Q000223,ID000028,Antonio Banderas,Fake,6,Antonio Banderas Stable Diffusion
Q000224,ID000028,Antonio Banderas,Fake,7,Antonio Banderas Midjourney
Q000225,ID000029,Antonio-Guterres,Real,1,Antonio-Guterres
Q000226,ID000029,Antonio-Guterres,Fake,1,Antonio-Guterres AI generated
Q000227,ID000029,Antonio-Guterres,Fake,2,Antonio-Guterres deepfake
Q000228,ID000029,Antonio-Guterres,Fake,3,Antonio-Guterres AI image
Q000229,ID000029,Antonio-Guterres,Fake,4,Antonio-Guterres viral deepfake
Q000230,ID000029,Antonio-Guterres,Fake,5,Antonio-Guterres synthetic face
Q000231,ID000029,Antonio-Guterres,Fake,6,Antonio-Guterres Stable Diffusion
Q000232,ID000029,Antonio-Guterres,Fake,7,Antonio-Guterres Midjourney
Q000233,ID000030,Antony,Real,1,Antony
Q000234,ID000030,Antony,Fake,1,Antony AI generated
Q000235,ID000030,Antony,Fake,2,Antony deepfake
Q000236,ID000030,Antony,Fake,3,Antony AI image
Q000237,ID000030,Antony,Fake,4,Antony viral deepfake
Q000238,ID000030,Antony,Fake,5,Antony synthetic face
Q000239,ID000030,Antony,Fake,6,Antony Stable Diffusion
Q000240,ID000030,Antony,Fake,7,Antony Midjourney
Q000241,ID000031,Arnold Schwarzenegger,Real,1,Arnold Schwarzenegger
Q000242,ID000031,Arnold Schwarzenegger,Fake,1,Arnold Schwarzenegger AI generated
Q000243,ID000031,Arnold Schwarzenegger,Fake,2,Arnold Schwarzenegger deepfake
Q000244,ID000031,Arnold Schwarzenegger,Fake,3,Arnold Schwarzenegger AI image
Q000245,ID000031,Arnold Schwarzenegger,Fake,4,Arnold Schwarzenegger viral deepfake
Q000246,ID000031,Arnold Schwarzenegger,Fake,5,Arnold Schwarzenegger synthetic face
Q000247,ID000031,Arnold Schwarzenegger,Fake,6,Arnold Schwarzenegger Stable Diffusion
Q000248,ID000031,Arnold Schwarzenegger,Fake,7,Arnold Schwarzenegger Midjourney
Q000249,ID000032,Ashley Judd,Real,1,Ashley Judd
Q000250,ID000032,Ashley Judd,Fake,1,Ashley Judd AI generated
Q000251,ID000032,Ashley Judd,Fake,2,Ashley Judd deepfake
Q000252,ID000032,Ashley Judd,Fake,3,Ashley Judd AI image
Q000253,ID000032,Ashley Judd,Fake,4,Ashley Judd viral deepfake
Q000254,ID000032,Ashley Judd,Fake,5,Ashley Judd synthetic face
Q000255,ID000032,Ashley Judd,Fake,6,Ashley Judd Stable Diffusion
Q000256,ID000032,Ashley Judd,Fake,7,Ashley Judd Midjourney
Q000257,ID000033,Ashton Kutcher,Real,1,Ashton Kutcher
Q000258,ID000033,Ashton Kutcher,Fake,1,Ashton Kutcher AI generated
Q000259,ID000033,Ashton Kutcher,Fake,2,Ashton Kutcher deepfake
Q000260,ID000033,Ashton Kutcher,Fake,3,Ashton Kutcher AI image
Q000261,ID000033,Ashton Kutcher,Fake,4,Ashton Kutcher viral deepfake
Q000262,ID000033,Ashton Kutcher,Fake,5,Ashton Kutcher synthetic face
Q000263,ID000033,Ashton Kutcher,Fake,6,Ashton Kutcher Stable Diffusion
Q000264,ID000033,Ashton Kutcher,Fake,7,Ashton Kutcher Midjourney
Q000265,ID000034,Audrey Hepburn,Real,1,Audrey Hepburn
Q000266,ID000034,Audrey Hepburn,Fake,1,Audrey Hepburn AI generated
Q000267,ID000034,Audrey Hepburn,Fake,2,Audrey Hepburn deepfake
Q000268,ID000034,Audrey Hepburn,Fake,3,Audrey Hepburn AI image
Q000269,ID000034,Audrey Hepburn,Fake,4,Audrey Hepburn viral deepfake
Q000270,ID000034,Audrey Hepburn,Fake,5,Audrey Hepburn synthetic face
Q000271,ID000034,Audrey Hepburn,Fake,6,Audrey Hepburn Stable Diffusion
Q000272,ID000034,Audrey Hepburn,Fake,7,Audrey Hepburn Midjourney
Q000273,ID000035,Audrey Tautou,Real,1,Audrey Tautou
Q000274,ID000035,Audrey Tautou,Fake,1,Audrey Tautou AI generated
Q000275,ID000035,Audrey Tautou,Fake,2,Audrey Tautou deepfake
Q000276,ID000035,Audrey Tautou,Fake,3,Audrey Tautou AI image
Q000277,ID000035,Audrey Tautou,Fake,4,Audrey Tautou viral deepfake
Q000278,ID000035,Audrey Tautou,Fake,5,Audrey Tautou synthetic face
Q000279,ID000035,Audrey Tautou,Fake,6,Audrey Tautou Stable Diffusion
Q000280,ID000035,Audrey Tautou,Fake,7,Audrey Tautou Midjourney
Q000281,ID000036,Auston-Matthews,Real,1,Auston-Matthews
Q000282,ID000036,Auston-Matthews,Fake,1,Auston-Matthews AI generated
Q000283,ID000036,Auston-Matthews,Fake,2,Auston-Matthews deepfake
Q000284,ID000036,Auston-Matthews,Fake,3,Auston-Matthews AI image
Q000285,ID000036,Auston-Matthews,Fake,4,Auston-Matthews viral deepfake
Q000286,ID000036,Auston-Matthews,Fake,5,Auston-Matthews synthetic face
Q000287,ID000036,Auston-Matthews,Fake,6,Auston-Matthews Stable Diffusion
Q000288,ID000036,Auston-Matthews,Fake,7,Auston-Matthews Midjourney
Q000289,ID000037,Babar-Azam,Real,1,Babar-Azam
Q000290,ID000037,Babar-Azam,Fake,1,Babar-Azam AI generated
Q000291,ID000037,Babar-Azam,Fake,2,Babar-Azam deepfake
Q000292,ID000037,Babar-Azam,Fake,3,Babar-Azam AI image
Q000293,ID000037,Babar-Azam,Fake,4,Babar-Azam viral deepfake
Q000294,ID000037,Babar-Azam,Fake,5,Babar-Azam synthetic face
Q000295,ID000037,Babar-Azam,Fake,6,Babar-Azam Stable Diffusion
Q000296,ID000037,Babar-Azam,Fake,7,Babar-Azam Midjourney
Q000297,ID000038,Barack-obamam,Real,1,Barack-obamam
Q000298,ID000038,Barack-obamam,Fake,1,Barack-obamam AI generated
Q000299,ID000038,Barack-obamam,Fake,2,Barack-obamam deepfake
Q000300,ID000038,Barack-obamam,Fake,3,Barack-obamam AI image
Q000301,ID000038,Barack-obamam,Fake,4,Barack-obamam viral deepfake
Q000302,ID000038,Barack-obamam,Fake,5,Barack-obamam synthetic face
Q000303,ID000038,Barack-obamam,Fake,6,Barack-obamam Stable Diffusion
Q000304,ID000038,Barack-obamam,Fake,7,Barack-obamam Midjourney
Q000305,ID000039,Bashar-al-Assad,Real,1,Bashar-al-Assad
Q000306,ID000039,Bashar-al-Assad,Fake,1,Bashar-al-Assad AI generated
Q000307,ID000039,Bashar-al-Assad,Fake,2,Bashar-al-Assad deepfake
Q000308,ID000039,Bashar-al-Assad,Fake,3,Bashar-al-Assad AI image
Q000309,ID000039,Bashar-al-Assad,Fake,4,Bashar-al-Assad viral deepfake
Q000310,ID000039,Bashar-al-Assad,Fake,5,Bashar-al-Assad synthetic face
Q000311,ID000039,Bashar-al-Assad,Fake,6,Bashar-al-Assad Stable Diffusion
Q000312,ID000039,Bashar-al-Assad,Fake,7,Bashar-al-Assad Midjourney
Q000313,ID000040,Ben Affleck,Real,1,Ben Affleck
Q000314,ID000040,Ben Affleck,Fake,1,Ben Affleck AI generated
Q000315,ID000040,Ben Affleck,Fake,2,Ben Affleck deepfake
Q000316,ID000040,Ben Affleck,Fake,3,Ben Affleck AI image
Q000317,ID000040,Ben Affleck,Fake,4,Ben Affleck viral deepfake
Q000318,ID000040,Ben Affleck,Fake,5,Ben Affleck synthetic face
Q000319,ID000040,Ben Affleck,Fake,6,Ben Affleck Stable Diffusion
Q000320,ID000040,Ben Affleck,Fake,7,Ben Affleck Midjourney
Q000321,ID000041,Ben Foster,Real,1,Ben Foster
Q000322,ID000041,Ben Foster,Fake,1,Ben Foster AI generated
Q000323,ID000041,Ben Foster,Fake,2,Ben Foster deepfake
Q000324,ID000041,Ben Foster,Fake,3,Ben Foster AI image
Q000325,ID000041,Ben Foster,Fake,4,Ben Foster viral deepfake
Q000326,ID000041,Ben Foster,Fake,5,Ben Foster synthetic face
Q000327,ID000041,Ben Foster,Fake,6,Ben Foster Stable Diffusion
Q000328,ID000041,Ben Foster,Fake,7,Ben Foster Midjourney
Q000329,ID000042,Ben Kingsley,Real,1,Ben Kingsley
Q000330,ID000042,Ben Kingsley,Fake,1,Ben Kingsley AI generated
Q000331,ID000042,Ben Kingsley,Fake,2,Ben Kingsley deepfake
Q000332,ID000042,Ben Kingsley,Fake,3,Ben Kingsley AI image
Q000333,ID000042,Ben Kingsley,Fake,4,Ben Kingsley viral deepfake
Q000334,ID000042,Ben Kingsley,Fake,5,Ben Kingsley synthetic face
Q000335,ID000042,Ben Kingsley,Fake,6,Ben Kingsley Stable Diffusion
Q000336,ID000042,Ben Kingsley,Fake,7,Ben Kingsley Midjourney
Q000337,ID000043,Benedict Cumberbatch,Real,1,Benedict Cumberbatch
Q000338,ID000043,Benedict Cumberbatch,Fake,1,Benedict Cumberbatch AI generated
Q000339,ID000043,Benedict Cumberbatch,Fake,2,Benedict Cumberbatch deepfake
Q000340,ID000043,Benedict Cumberbatch,Fake,3,Benedict Cumberbatch AI image
Q000341,ID000043,Benedict Cumberbatch,Fake,4,Benedict Cumberbatch viral deepfake
Q000342,ID000043,Benedict Cumberbatch,Fake,5,Benedict Cumberbatch synthetic face
Q000343,ID000043,Benedict Cumberbatch,Fake,6,Benedict Cumberbatch Stable Diffusion
Q000344,ID000043,Benedict Cumberbatch,Fake,7,Benedict Cumberbatch Midjourney
Q000345,ID000044,Benicio del Toro,Real,1,Benicio del Toro
Q000346,ID000044,Benicio del Toro,Fake,1,Benicio del Toro AI generated
Q000347,ID000044,Benicio del Toro,Fake,2,Benicio del Toro deepfake
Q000348,ID000044,Benicio del Toro,Fake,3,Benicio del Toro AI image
Q000349,ID000044,Benicio del Toro,Fake,4,Benicio del Toro viral deepfake
Q000350,ID000044,Benicio del Toro,Fake,5,Benicio del Toro synthetic face
Q000351,ID000044,Benicio del Toro,Fake,6,Benicio del Toro Stable Diffusion
Q000352,ID000044,Benicio del Toro,Fake,7,Benicio del Toro Midjourney
Q000353,ID000045,Benjamin-Netanyahu,Real,1,Benjamin-Netanyahu
Q000354,ID000045,Benjamin-Netanyahu,Fake,1,Benjamin-Netanyahu AI generated
Q000355,ID000045,Benjamin-Netanyahu,Fake,2,Benjamin-Netanyahu deepfake
