ID,Celebrity,Image,Type,Issue
ID000257,Michael-J-Fox,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000258,Michael-Keaton,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000263,Michelle-Yeoh,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000264,Mickey-Rourke,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000270,Monica-Bellucci,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000273,Nancy-Pelosi,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000276,Neha-Kakka,01.jpg,Real,"TIE - annotators disagreed, needs a manual look"
ID000279,Nicholas-Galitzine,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000282,Nicky-Campbell,01.jpg,Real,"TIE - annotators disagreed, needs a manual look"
ID000286,Olga-Loiek,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000287,Olivia-Rodrigo,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000287,Olivia-Rodrigo,04.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000288,Patricia-Arquette,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000289,Patrick-Stewart,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000297,Pope-Francis,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000301,Richard-Gere,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000302,Rihanna,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000303,Rinko-Kikuchi,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000303,Rinko-Kikuchi,05.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000304,Robert-De-Niro,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000305,Robert-Downey-Jr,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000310,Roger-Moore,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000311,Rohit-Paudel,1.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000319,Sally-Field,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000320,Salma-Hayek,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000321,Sam-Rockwell,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000322,Sanna-Marin,05.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000323,Sarah-Michelle-Gellar,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000323,Sarah-Michelle-Gellar,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000323,Sarah-Michelle-Gellar,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000324,Sean-Penn,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000325,Sediqullah-Atal,1.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000331,Sharlto-Copley,02.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000333,Shohei-Ohtani,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000338,Song-Hye-Kyo,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000338,Song-Hye-Kyo,05.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000343,Susan-Sarandon,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000344,Sydney-Sweeney,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000345,Sylvester-Stallone,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000346,Taeyeon,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000347,Tate-McRae,01.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000354,Timothée-Chalamet,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000354,Timothée-Chalamet,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000356,Tom-Cruise,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000357,Tom-Hardy,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000357,Tom-Hardy,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000359,V-BTS,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000359,V-BTS,04.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000361,Victor-Osimhen,images.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000363,Vladimir-Vladimirovich-Putin-i,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000364,Walt-Disney,01.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000367,Will-Smith,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000369,William-Shatner,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000371,Woody-Allen,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000371,Woody-Allen,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000371,Woody-Allen,05.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000373,Xiao-Zhan,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000379,denzel-washington,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000383,keiko-kitagawa,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000384,kriti-sanon,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000387,mr-beast,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000394,taylor-swift,02.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000269,Mohammad-Albuty,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000240,Maria-Corina-Machado,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000324,Sean-Penn,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000233,Luis-Díaz,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000199,Justin-Timberlake,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000258,Michael-Keaton,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000307,Robert-Englund,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000249,Martin-Ødegaard,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000251,Matt-Dillon,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000156,Jack-Nicholson,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000063,Carlos-Alcaraz,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000274,Naomi-Watts,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000339,Sophie-Devine,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000306,Robert-Duvall,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000348,Thomas-Jane,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000237,Marc-Benioff,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000142,Holly-Hunter,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000247,Marques-Brownlee-MKBHD,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000163,Jason-Clarke,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000287,Olivia-Rodrigo,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000190,Jon-Stewart,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000162,Jason-Biggs,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000054,Bruce-Willis,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000180,Joaquin-Phoenix,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000248,Martin-Lewis,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000107,Ethan-Hawke,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000342,Suryakumar-Yadav,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000185,John-Terry,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000320,Salma-Hayek,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000071,Chris-Tucker,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000050,Blair-Parry-Okeden,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000021,Andy-Jassy,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000351,Tim-Allen,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000184,John-Malkovich,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000221,Lamar-Jackson,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000089,Diane-Lane,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000374,Zhong-Huijuan,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000378,captin-pat-cumins,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000191,Jonah-Hill,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000175,Jessica-Biel,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000210,Kevin-Costner,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000370,Winona-Ryder,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000332,Shia-LaBeouf,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000077,Colin-Farrell,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000070,Chris-Cooper,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000394,taylor-swift,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000055,Bukayo-Saka,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000355,Tina-Fey,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000083,David-Arquette,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000266,Mina,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000331,Sharlto-Copley,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000340,Steve-Zahn,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000135,Hardik-Panday,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000275,Nasser-Al-Huqbani,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000153,Isabella-Gaze,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000364,Walt-Disney,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000091,Dustin-Hoffman,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000053,Brenda-Tau,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000229,Link-Neal,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000139,Helena-Bonham-Carter,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000015,Alina-Amir,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Real images kept after voting"
ID000337,Song-Kang-ho,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000036,Auston-Matthews,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000204,Kathy-Bates,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000311,Rohit-Paudel,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000160,James-Caan,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000186,John-Travolta,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000316,Rose-Byrne,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000325,Sediqullah-Atal,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000361,Victor-Osimhen,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000312,Romain-Duris,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000004,Abdulnasser-Bin-Kalban,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000106,Eric-Bana,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000256,Michael-Cera,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000159,Jake-Gyllenhaal,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000048,Bill-Paxton,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000125,Glenn-Maxwell,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000356,Tom-Cruise,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
ID000012,Alex-Cooper,,,"EXCLUDED from FinalDataset - needs both Real and Fake, but has: 0 Fake images kept after voting"
